College,Private,Apps,Top10perc,P.Undergrad,Outstate,Room.Board,Books,Personal,PhD,S.F.Ratio,perc.alumni,Expend,Grad.Rate,Apps_transformed,Top10perc_transformed,P.Undergrad_transformed,Outstate_transformed,Books_transformed,Personal_transformed,Terminal_transformed,S.F.Ratio_transformed,perc.alumni_transformed,Expend_transformed,Accept_Rate,Outstate_Tier,Outstate_Tier_encoded,Private_encoded,Apps_transformed_scaled,Top10perc_transformed_scaled,P.Undergrad_transformed_scaled,Outstate_transformed_scaled,Books_transformed_scaled,Personal_transformed_scaled,Terminal_transformed_scaled,S.F.Ratio_transformed_scaled,perc.alumni_transformed_scaled,Expend_transformed_scaled,Private_encoded_scaled,Accept_Rate_scaled
Abilene Christian University,Yes,1660,23,537,7440,3300,450,2200,70.0,18.1,12,7041,60.0,5.730374554373153,4.810280968585637,8.713915358174376,59.14220924784788,9.28888019207096,10.37487734716192,34148.77423378909,7.965493088984884,2.5649493574615367,1.8287300666501192,0.7421686746987952,Low,0,1,0.027794170542252482,-0.053119072030679164,0.3001555111149251,-0.6934490715406573,-0.6142542984789047,1.2713984993834921,-0.28237352323745246,1.0179463816947247,-0.7227012651918747,-0.49118269843375684,0.6125530498969481,-0.032372339112454566
Adelphi University,Yes,2186,16,1227,12280,6450,750,1500,29.0,12.2,16,10527,56.0,5.889257941255077,4.037027549018027,10.316289840344515,70.78189715235496,10.448461969422015,9.706971680718645,2801.8079254639497,5.909038089917999,2.833213344056216,1.831689213631277,0.8801463860933212,Medium,1,1,0.2829202044206749,-0.5849046607537621,0.8682389489526622,0.5562683365380878,1.3023649764046783,0.4565508868862346,-2.2481293668347866,-0.43508339754859504,-0.28448920152158647,0.5523622369819019,0.6125530498969481,0.9061926295687938
Adrian College,Yes,1428,22,99,11250,3750,400,1165,53.0,12.9,30,8735,54.0,5.642122502279379,4.711661371580558,5.8159350827485845,68.6000553102349,9.032160306951633,9.276476361083821,22055.92836451695,6.170677943246448,3.4339872044851463,1.830396235706211,0.7682072829131653,Medium,1,1,-0.11391602631457269,-0.12094221917214974,-0.7272538841097254,0.32201070401890103,-1.0385747644227592,-0.06865514297677516,-1.0407110988557453,-0.2502164792374274,0.696881263144984,0.09639280596058719,0.6125530498969481,0.14474993126166572
Agnes Scott College,Yes,417,60,63,12960,5450,450,875,92.0,7.7,37,19016,59.0,4.883064097773142,7.235080368137712,5.119856158258815,72.15715956731606,9.28888019207096,8.798544673254346,60412.08392299406,4.0595565561995315,3.6375861597263857,1.835020088671259,0.8369304556354916,Medium,1,1,-1.3327694509817887,1.6144757210802636,-0.9740319705249556,0.7039260224445798,-0.6142542984789047,-0.6517337337581389,1.3645882269351624,-1.7418718980861345,1.0294623131395182,1.726997292492287,0.6125530498969481,0.6122251618760879
Alaska Pacific University,Yes,193,16,869,7560,4120,800,1500,76.0,11.9,2,10922,15.0,4.372222909491132,4.037027549018027,9.631371352231755,59.48377523544515,10.600467571293109,9.706971680718645,27695.56132098715,5.7951254207427985,1.0986122886681098,1.8319293418754636,0.7564766839378239,Low,0,1,-2.15304958766458,-0.5849046607537621,0.6254175275588529,-0.6567761844143083,1.5536080298286021,0.4565508868862346,-0.6870519494859656,-0.5155706927336406,-3.1179783991407715,0.6370436045066592,0.6125530498969481,0.06495494735718245
Albertson College,Yes,587,38,41,13500,3335,500,675,75.0,9.4,11,9727,55.0,5.100784079945237,6.005729697666701,4.486508965755222,73.21587268117148,9.521846755027648,8.373935316758168,28713.47007719424,4.797898993300738,2.4849066497880004,1.831157495210739,0.8160136286201022,Medium,1,1,-0.9831669114228405,0.7690207208177242,-1.1985700260580425,0.817596785733177,-0.2291946039516519,-1.1697588648030377,-0.6232192944825511,-1.22018114926161,-0.8534518760234878,0.3648514210769269,0.6125530498969481,0.4699427534045053
Albertus Magnus College,Yes,353,17,230,13290,5720,500,1500,90.0,11.5,26,8861,63.0,4.7749954562357555,4.161257057510804,7.200190819882251,72.8075160779234,9.521846755027648,9.706971680718645,54108.59763306137,5.641488213824212,3.295836866004329,1.8305001717990002,0.9631728045325779,Medium,1,1,-1.5063000160279127,-0.4994689411839057,-0.2364992154928749,0.7737527961030578,-0.2291946039516519,0.4565508868862346,0.9692990979140862,-0.6241261617099947,0.47121122188858366,0.13304593063730483,0.6125530498969481,1.4709627437747088
Albion College,Yes,1899,37,32,13868,4826,450,850,89.0,13.7,37,11487,73.0,5.80841405082405,5.938297343999169,4.133144242927068,73.92151948775094,9.28888019207096,8.750709491517258,65424.30531235642,6.463021636404172,3.6375861597263857,1.8322504493184746,0.9057398630858347,Medium,1,1,0.15310561817763538,0.7226458157909562,-1.323847012672887,0.893359908024116,-0.6142542984789047,-0.7100928488101287,1.6789026453905742,-0.043655143285563025,1.0294623131395182,0.7502823344555293,0.6125530498969481,1.0802869864699451
Albright College,Yes,1038,30,306,15595,4400,300,500,79.0,11.3,23,11644,80.0,5.451903582692195,5.42374736044689,7.695786031632887,77.07829818973568,8.421257384519414,7.892981014082466,41456.75591363073,5.563890873647727,3.1780538303479458,1.8323353855596565,0.8082851637764933,High,2,1,-0.41935890159128253,0.3687770077049723,-0.06079782059427027,1.2322935057020183,-2.048308048513365,-1.7565250579131293,0.17590711389826053,-0.6789541283407586,0.2788113855351543,0.7802351502105349,0.6125530498969481,0.4173714627910875
Alderson-Broaddus College,Yes,582,21,78,10468,3380,660,1800,40.0,11.5,15,8991,52.0,5.095403125842417,4.609647768547939,5.4448979972700435,66.85420477540829,10.151083734530816,10.02256149629937,6345.514463516922,5.641488213824212,2.772588722239781,1.8306050450301183,0.8556701030927835,Medium,1,1,-0.9918073458047852,-0.1910995085854955,-0.8587961830100914,0.13456411411234906,0.8108421980583805,0.8415717373961816,-2.0259049331637793,-0.6241261617099947,-0.3835201634208818,0.17002953770072857,0.6125530498969481,0.7396977547397244
